"id","geom","longitud","latitud","concello_id","ubicacion","km"
118,POINT (-8.650586416320301 42.7257361425287),-8.650586416320301,42.7257361425287,Pontecesures,49133,29.25
119,POINT (-8.650531432015908 42.723443731902016),-8.650531432015908,42.723443731902016,Pontecesures,49133,29.5
120,POINT (-8.650207071589815 42.72125248803352),-8.650207071589815,42.72125248803352,Pontecesures,49133,29.75
121,POINT (-8.648949966619758 42.719569330821955),-8.648949966619758,42.719569330821955,Pontecesures,49133,30.0
122,POINT (-8.648590991534823 42.717434929138186),-8.648590991534823,42.717434929138186,Pontecesures,49133,30.25
123,POINT (-8.648167156759532 42.715036209389645),-8.648167156759532,42.715036209389645,Pontecesures,49133,30.5
124,POINT (-8.647232755413457 42.71275761648283),-8.647232755413457,42.71275761648283,Pontecesures,49133,30.75
180,POINT (-8.644683488213794 42.61903091967134),-8.644683488213794,42.61903091967134,Caldas de Reis,66168,44.75
181,POINT (-8.644694575855718 42.616650561086715),-8.644694575855718,42.616650561086715,Caldas de Reis,66168,45.0
182,POINT (-8.644741159513892 42.61425902468398),-8.644741159513892,42.61425902468398,Caldas de Reis,66168,45.25
183,POINT (-8.64413211796975 42.61196982676025),-8.64413211796975,42.61196982676025,Caldas de Reis,66168,45.5
184,POINT (-8.644735892504292 42.609713273098265),-8.644735892504292,42.609713273098265,Caldas de Reis,66168,45.75
185,POINT (-8.645520119078183 42.60767504363508),-8.645520119078183,42.60767504363508,Caldas de Reis,66168,46.0
186,POINT (-8.644744145397247 42.6054978453195),-8.644744145397247,42.6054978453195,Caldas de Reis,66168,46.25
187,POINT (-8.643032777153794 42.60372324695396),-8.643032777153794,42.60372324695396,Caldas de Reis,66168,46.5
188,POINT (-8.642724756110038 42.60180110190609),-8.642724756110038,42.60180110190609,Caldas de Reis,66168,46.75
189,POINT (-8.643021363382129 42.59974730319287),-8.643021363382129,42.59974730319287,Caldas de Reis,66168,47.0
190,POINT (-8.643573583903493 42.597451850545056),-8.643573583903493,42.597451850545056,Caldas de Reis,66168,47.25
191,POINT (-8.643620964228278 42.59499493754662),-8.643620964228278,42.59499493754662,Caldas de Reis,66168,47.5
192,POINT (-8.644245489348563 42.59266498630194),-8.644245489348563,42.59266498630194,Caldas de Reis,66168,47.75
193,POINT (-8.644785352235896 42.59055125149977),-8.644785352235896,42.59055125149977,Caldas de Reis,66168,48.0
194,POINT (-8.645387941892684 42.588321465103014),-8.645387941892684,42.588321465103014,Caldas de Reis,66168,48.25
195,POINT (-8.645878838697469 42.58605195916997),-8.645878838697469,42.58605195916997,Caldas de Reis,66168,48.5
