"id","geom","tipo","nome","enderezo","concello","cp","telefono","longitud","latitud"
14757,POINT (-7.2295846616007 43.5191250457438),vivendas_turisticas,URBANIZACION OCEANO IV,"VILADAIDE-PLAYA 4, PISO 2 LETRA B",barreiros,"27790",,-7.2295846616007,43.5191250457438
12951,POINT (-8.9530103942141 42.5855708503146),vivendas_turisticas,MARGA,RÚA ESTEIRÓN Nº 16,ribeira,"15959",,-8.9530103942141,42.5855708503146
14761,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 BJ E,"VILADAIDE-PRAIA ALTAR Nº 63, PISO BJ LETRA E",barreiros,"27790",,-7.2394666264834,43.5605572578114
14762,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 BJ F,"VILADAIDE-PRAIA ALTAR Nº 63, PISO BJ LETRA F",barreiros,"27790",,-7.2394666264834,43.5605572578114
14763,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 BJ G,"VILADAIDE-PRAIA ALTAR Nº 63, PISO BJ LETRA G",barreiros,"27790",,-7.2394666264834,43.5605572578114
14764,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 BJ I,"VILADAIDE-PRAIA ALTAR Nº 63, PISO BJ LETRA I",barreiros,"27790",,-7.2394666264834,43.5605572578114
14765,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACION OCEANO V PORTAL 1 1ºD,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 1 LETRA D",barreiros,"27790",,-7.2394666264834,43.5605572578114
14766,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 1F,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 1 LETRA F",barreiros,"27790",,-7.2394666264834,43.5605572578114
14767,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 1H,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 1 LETRA H",barreiros,"27790",,-7.2394666264834,43.5605572578114
14768,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 2B,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 2 LETRA B",barreiros,"27790",,-7.2394666264834,43.5605572578114
14769,POINT (-7.2394666264834 43.5605572578114),vivendas_turisticas,URBANIZACIÓN OCÉANO V PORTAL 1 3F,"VILADAIDE-PRAIA ALTAR Nº 63, PISO 3 LETRA F",barreiros,"27790",,-7.2394666264834,43.5605572578114
